profession-capability-framework-capability-mastery-level	profession-capability-framework-capability	profession-capability-framework-mastery-level	description	start-date	end-date
10148	1112	13	Able to troubleshoot and identify problems across different technology capabilities.		
10267	1112	14	Aware of different technology capabilities with basic troubleshooting capability.		
10164	1113	11	Designs data architecture by dealing with problems that span different business areas. Draws links between problems in order to reach common solutions. Works across multiple subject areas, a single large or complicated subject area.		
10153	1113	12	Designs data architecture by dealing with problems that span the enterprise. Works across all organisational subject areas.		
10174	1113	13	Designs data architecture by dealing with specific business problems and aligning it to enterprise-wide standards and principles. Works within the context of well understood architecture and identifies appropriate patterns.		
10122	1114	11	Designs systems characterised by medium levels of risk, impact and business or technical complexity. Works across multiple services or a single large or complicated service.		
10112	1114	12	Designs systems characterised by high levels of risk, impact and business or technical complexity.		
10126	1114	13	Designs systems characterised by managed levels of risk, manageable business and technical complexity and meaningful impact. Works with well-understood technology and identifies appropriate patterns.		
10438	1115	11	Able to apply experience of multiple parts of the lifecycle. Able to recognise when to move forward and when to stop. Able to recognise the appropriate deliverables and engage the right people to meet these. Able to work with other Agile delivery disciplines throughout the product life cycle. Able to plan and proactively engage with stakeholders at the appropriate stage of the project. Able to identify which tools and techniques should be used at each stage.		
10429	1115	12	Able to develop sustainable support models. Able to identify and deal with potential risks across or between all phases of the lifecycle. Able to coach others. Able to contribute to the assessment of other teams, providing guidance and support as they move through the life cycle phases. Leads and champions best practice and identifies improvements to current approaches.		
10433	1115	12	Able to develop sustainable support models. Able to identify and deal with potential risks across or between all phases of the lifecycle. Able to coach others. Able to contribute to the assessment of other teams, providing guidance and support as they move through the life cycle phases. Leads and champions best practice, and identifies improvements to current approaches.		
10445	1115	13	Understands how the needs of the team and product vary across the lifecycle. Ensures the team is measuring performance as appropriate for the relevant service standard phase. Able to manage the delivery of services or products at different phases. Plans ahead and looks at data requirements in future phases.		
10452	1115	14	Describes the importance of performance measures, their relation to business objectives and how they vary at different stages of the lifecycle.		
10402	1116	11	Understands and can help teams apply a range of techniques to analyse data and provide insight. Is proactive and can present compelling findings that inform wider decisions. Starts to apply innovative approaches to resolve problems.		
10409	1116	12	Understands, teaches and supervises a wide range of analysis techniques. Can help organisations create and learn from strategic insights. Able to apply innovative approaches to resolve problems.		
10416	1116	13	Understands and can work with colleagues to apply core techniques for analysis and provide insight. Presents clear insights that colleagues can understand and use.		
10423	1116	14	Is aware of the need for careful analysis of data to produce clear insights.		
10092	1117	11	Works with and challenges senior stakeholders. Can prioritise and mitigate constraints, and can turn them into an advantage. Is able to adapt the approach depending on the constraints.		
10472	1117	11	Works with and challenges senior stakeholders. Can prioritise and mitigate constraints and can turn them into an advantage. Is able to adapt the approach depending on the constraints.		
10088	1117	12	Able to influence, challenge and coach. Able to anticipate how constraints might change and knows where to challenge or remove constraints.		
10099	1117	13	Can identify and understand constraints, and is able to communicate these and work within them. Is able to challenge the validity of constraints. Capable of ensuring standards are being met.		
10476	1117	13	Can identify and understand constraints and is able to communicate these and work within them. Is able to challenge the validity of constraints. Capable of ensuring standards are being met.		
10109	1117	14	Understands the value of policy, legislative, regulatory and operational constraints and finds the least troublesome solution for users.		
10487	1117	14	Understands the value of policy, legislative, regulatory and operational constraints and finds the simplest, shortest and fastest solution for users.		
10495	1117	15	N/A		
10439	1118	11	Works with and challenges senior stakeholders. Can prioritise and mitigate constraints and can turn them into an advantage. Is able to adapt the approach according to constraints. Has a good knowledge of security and data privacy.		
10430	1118	12	Able to influence, challenge and coach. Able to anticipate how constraints might change and knows where to challenge or remove constraints. Has a very strong knowledge of security and data privacy. Describes and works within environmental constraints, finding the most appropriate solution for users.		
10446	1118	13	Can identify and understand constraints, and is able to communicate these and work within them. Is able to challenge the validity of constraints. Capable of ensuring standards are being met. Has an understanding of security and data privacy.		
10453	1118	14	Has an awareness of ethical and operational constraints.		
10293	1119	11	Has expert certificate in Service Management Framework qualification.		
10316	1119	11	Has expert certificate in service management framework qualification.		
10325	1119	11	Has Expert Certificate in Service Management Framework qualification.		
10347	1119	11	Has Expert Certificate in Service Management Framework Qualification.		
10333	1119	12	Has Expert Certificate in Service Management Framework qualification and an industry understanding of how to implement the framework into numerous environments.		
10273	1119	13	Has a level 3 service management framework qualification and knowledge of lifecycle or capability elements of ITIL.		
10308	1119	13	Has a Level 3 Service Management Framework Qualification and knowledge of lifecycle and, or,  capability elements of ITIL.		
10319	1119	13	Has a Level 3 service management framework qualification and knowledge of lifecycle or capability elements of ITIL.		
10328	1119	13	Has a Level 3 Service Management Framework qualification and knowledge of lifecycle and / or capability elements of ITIL.		
10336	1119	13	Has a Level 3 Service Management Framework Qualification and knowledge of lifecycle and / or capability elements of ITIL.		
10286	1119	14	Has a level 3 service management framework qualification.		
10300	1119	14	Has a Level 3 Service Management Framework Qualification.		
10339	1119	14	Has a Level 3 Service Management Framework qualification.		
10342	1119	14	Has expert certificate in service management framework qualification.		
10355	1119	14	Has a Level 3 service management framework qualification.		
10191	1120	11	Can interpret and apply understanding across a complex area. Has the ability to start influencing policy and process, business architecture and legal and political implications.		
10186	1120	12	Able to challenge and lead changes to policy and processes to support business outcomes, business architecture and legal and political implications.		
10197	1120	13	Can interpret and apply understanding of policy and process, business architecture, and legal and political implications in order to assist the development of technical solutions or controls.		
10117	1121	11	Able to understand trends and practices within the broader organisation and how these will impact their work. Able to look for deeper underlying problems and opportunities. Can anticipate problems before they occur and identify the impact of changes to policy.		
10113	1121	12	Able to understand trends and practices outside their organisation and how these will impact their work. Can anticipate changing policy.		
10123	1121	13	Able to understand trends and practices outside their team and how these will impact their work. Able to understand how their work fits into the broader strategy and historical context. Capable of considering the patterns and interactions on a larger scale.		
10129	1121	14	Able to understand how their work supports the team and identify the wider influences and how they apply. Able to keep an open mind and understand the broader context.		
10427	1122	11	Understands and can help teams apply a range of techniques to analyse data and provide insight. Is proactive and can present compelling findings that inform wider decisions. Applies innovative approaches to resolve problems.		
10432	1122	12	Understands, teaches and supervises a wide range of analysis techniques. Can help organisations create and learn from strategic insights. Able to apply innovative approaches to resolve problems.		
10450	1122	13	Understands and can work with colleagues to apply core techniques for analysis and providing insight. Presents clear insights that colleagues can understand and use.		
10008	1123	11	Able to collaborate with user researchers and can sell or represent users internally. Understands the difference between user needs and desires of the user. Able to champion user research to focus on all users. Can prioritise and defines approaches to understand the user story, guiding others in doing so. Can offer recommendations on the best tools and methods to be used.		
10016	1123	11	Able to collaborate with user researchers and can sell and represent users internally. Understands the difference between user needs and desires of the user. Able to champion user research to focus on all users. Can prioritise and defines  approaches to understand the user story, guiding others in doing so. Can offer recommendations on the best tools and methods to be used.		
10097	1123	11	Able to collaborate with user researchers and can sell or represent users internally. Understands the difference between user needs and desires of the user. Able to champion user research to focus on totality of all users. Can prioritise and defines approaches to understand the user story, guiding others in doing so. Can offer recommendations on the best tools and methods to be used.		
10210	1123	11	Able to collaborate with user researchers and can sell and represent users internally. Understands the difference between user needs and desires of the user. Able to champion user research to focus on all users. Can prioritise and defines approaches to understand the user story, guiding others in doing so. Can offer recommendations on the best tools and methods to be used.		
10237	1123	11	Able to collaborate with user researchers and can sell or represent users internally. Understands the difference between user needs and desires of the user. Able to champion user research to focus on all users. Can prioritise and defines  approaches to understand the user story, guiding others in doing so. Can offer recommendations on the best tools and methods to be used.		
10282	1123	11	Able to collaborate with user researchers and can sell/represent users internally. Understands the difference between user needs and desires of the user. Able to champion user research to focus on all users. Can prioritise and defines  approaches to understand the user story, guiding others in  doing so. Can offer recommendations on the best tools and methods to be used.		
10320	1123	11	Able to collaborate with user researchers and can sell/represent users internally. Understands the difference between user needs and desires of the user. Able to champion user research to focus on all users. Can prioritise and defines approaches to understand the user story, guiding others in doing so. Can offer recommendations on the best tools and methods to be used.		
10481	1123	11	Able to collaborate with user researchers and can sell / represent users internally. Understands the difference between user needs and desires of the user. Able to champion user research to focus on all users. Can prioritise and defines  approaches to understand the user story, guiding others in doing so. Can offer recommendations on the best tools and methods to be used.		
10080	1123	12	Gives direction on which tools / methods to use. Is experienced in meeting the needs of users across a variety of channels. Able to bring insight and expertise in how user needs have changed over time to ensure these are met by the business. Applies strategic thinking in how to provide the best service for the end user.		
10085	1123	12	Gives direction on which tools and methods to use. Is experienced in meeting the needs of users across a variety of channels. Able to bring insight and expertise in how user needs have changed over time to ensure these are met by the business. Applies strategic thinking in how to provide the best service for the end user.		
10274	1123	12	Gives direction on which  tools or methods to use. Is experienced in meeting the needs of users across a variety of channels. Able to bring insight and expertise in how user needs have changed over time to ensure these are met by the business. Applies strategic thinking in how to provide the best service for the end user.		
10317	1123	12	Gives direction on which tools or methods to use. Is experienced in meeting the needs of users across a variety of channels. Able to bring insight and expertise in how user needs have changed over time to ensure these are met by the business. Applies strategic thinking in how to provide the best service for the end user.		
10326	1123	12	Gives direction on which  tools / methods to  use. Is experienced in meeting the needs of users across a variety of channels. Able to bring insight and expertise in how user needs have changed over time to ensure these are met by the business. Applies strategic thinking in how to provide the best service for the end user.		
10024	1123	13	Identifies and engages with users and stakeholders to collate user needs evidence, and understands and defines research which fits user needs. Able to use quantitative and qualitative data about users to turn user focus into outcomes.		
10106	1123	13	Identifies and engages with users and stakeholders to collate evidence and understand and define research which fits user needs. Able to use quantitative and qualitative data about users to turn user focus into outcomes.		
10240	1123	13	Identifies and engages with users or stakeholders to collate user needs evidence and understands and defines research which fits user needs. Able to use quantitative and qualitative data about users to turn user focus into outcomes.		
10301	1123	13	Identifies and engages with users / stakeholders to collate user needs evidence and understands and defines research which fits user needs. Able to use quantitative and qualitative data about users to turn user focus into outcomes.		
10313	1123	13	Identifies and engages with users / stakeholders to collate user needs evidence, and understands and defines research which fits user needs. Able to use quantitative and qualitative data about users to turn user focus into outcomes.		
10321	1123	13	Identifies and engages with users or stakeholders to collate user needs evidence, and understands and defines research which fits user needs. Able to use quantitative and qualitative data about users to turn user focus into outcomes.		
10343	1123	13	Identifies and engages with users and stakeholders to collate user needs evidence and understands and defines research which fits user needs. Able to use quantitative and qualitative data about users to turn user focus into outcomes.		
10488	1123	13	Identifies and engages with users and stakeholders to collate user needs evidence.  Understands and defines research which fits user needs. Able to use quantitative and qualitative data about users to turn user focus into outcomes.		
10037	1123	14	Has an awareness or understanding of user experience analysis and its principles. Can see the purpose of user stories and focuses on user needs.		
10508	1124	12	Understands and has extensive experience of a range of user-centred and agile approaches. Can help government organisations adopt user-centred practices and embed them into agile service design and delivery. Can advocate for user research across an organisation.		
10440	1125	11	Understands the difference between user needs and desires of the user. Has experience in meeting user needs across a variety of channels. Able to integrate digital analytics with qualitative data, such as user surveys and user research, to develop hypotheses for testing. Can offer recommendations on the best tools and methods to be used.		
10431	1125	12	Gives direction on which tools or methods are to be used. Able to bring insight and expertise to how user needs have changed over time and ensure these are met. Applies strategic thinking in how to provide the best service for the end user. Considers the political strategy and implications of any analyses and insights.		
10447	1125	13	Able to use quantitative and qualitative data about users to turn user focus into outcomes. Delivers analysis and information that addresses stakeholder needs and provides recommendations. Collaborates with user researchers and other user-focussed professions. Guides others on approaches to understand user stories.		
10454	1125	14	Has an understanding that everything we do is focused on the user of the product or service.		
10515	1126	11	Understands and has experience of a range of user-centred practices. Can help inexperienced teams adopt user-centred practices and embed them into their agile workflow. Can advocate for user research and engage sceptical colleagues and stakeholders.		
10523	1126	13	Understands and has experience of a range of user-centred practices. Can work with colleagues to plan and do continuous user research in a multidisciplinary team.		
10528	1126	14	Has some understanding of user-centred service design and delivery practices.		
10457	1127	11	Creates and iterates content for end-to-end services. Delivers through others and directs their work.		
10455	1127	12	Has experience of creating and iterating content across multiple channels. Is accountable for content decisions. Trains and guides the team.		
10459	1127	13	Able to work autonomously. Creates effective content for digital channels.		
10460	1127	14	Has basic but decent editorial standards. Has awareness of style standards. Works well under supervision.		
10437	1128	11	Able to set up a system to get data ready for use and specify how data should be cleansed and prepared. Able to bring data together from different sources and communicate the limitations of data. Able to peer review colleagues’ outputs to ensure quality.		
10428	1128	12	Has a deep understanding of relevant data sources, tools and systems. Uses appropriate approaches for verifying and validating data and analysis. Influences senior stakeholders over data approaches. Coaches and mentors others.		
10444	1128	13	Recognises and identifies appropriate ways to collect, collate and prepare data, and is able to decide if data is accurate and fit for purpose. Performs own data preparation and cleansing with limited guidance.		
10451	1128	14	Understands basic data issues and checks that the data and analysis look right. Understands the concept of data being fit for purpose. Understands the context of the data. Aware of the right questions to ask, is curious and applies an analytical mindset when approaching a problem. Performs data preparation and cleansing with guidance.		
10396	1006	11	Understands and can help teams apply a range of practices. Develops deeper expertise on a narrower range of specialisms. Starts to apply emerging theory to practical situations.		
10403	1006	12	Understands, teaches and supervises a wide range of practices, or may have deep expertise on a narrower range of specialisms. Able to apply emerging theory to practical situations.		
10057	1024	11	Able to listen to the needs of the technical and business stakeholders and interpret between them. Able to manage stakeholders’ expectations and be flexible, is capable of proactive and reactive communication. Facilitates difficult discussions within the team or with diverse senior stakeholders.		
10044	1024	12	Able to mediate and mend relationships, communicating with stakeholders at all levels. Able to manage stakeholders’ expectations and facilitate discussions across high risk and complexity or under constrained timescales. Able to speak and represent the community to large audiences inside and outside of government.		
10065	1024	13	Able to effectively translate and accurately communicate across technical and non-technical stakeholders as well as facilitate discussions within a multidisciplinary team, with potentially difficult dynamics. Able to advocate for the team externally and can manage differing perspectives.		
